"lang"
{
	"Language"		"Schinese"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_2_Description"		"伤害: 15%%/<font color='#FBAF40'>20%%</font>/25%%/30%%/35%%\n每级增加: 5%%\n满级奖励: 割裂效果持续3秒。\n\n对敌人增加一个割裂的效果，根据敌人移动的距离造成额外的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_2_Lore"		"血魔对血的渴望体现在这件物品上，这些爪子会使被钩中的人受到更多的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_3"		"血魔之爪"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_3_Description"		"伤害: 15%%/20%%/<font color='#FBAF40'>25%%</font>/30%%/35%%\n每级增加: 5%%\n满级奖励: 割裂效果持续3秒。\n\n对敌人增加一个割裂的效果，根据敌人移动的距离造成额外的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_3_Lore"		"血魔对血的渴望体现在这件物品上，这些爪子会使被钩中的人受到更多的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_4"		"血魔之爪"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_4_Description"		"伤害: 15%%/20%%/25%%/<font color='#FBAF40'>30%%</font>/35%%\n每级增加: 5%%\n满级奖励: 割裂效果持续3秒。\n\n对敌人增加一个割裂的效果，根据敌人移动的距离造成额外的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_4_Lore"		"血魔对血的渴望体现在这件物品上，这些爪子会使被钩中的人受到更多的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_5"		"血魔之爪"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_5_Description"		"伤害: 15%%/20%%/25%%/30%%/<font color='#FBAF40'>35%%</font>\n每级增加: 5%%\n满级奖励: <font color='#FBAF40'>割裂效果持续3秒。</font>\n\n对敌人增加一个割裂的效果，根据敌人移动的距离造成额外的伤害。"
	"DOTA_TOOLTIP_ABILITY_item_strygwyr_claw_5_Lore"		"血魔对血的渴望体现在这件物品上，这些爪子会使被钩中的人受到更多的伤害。"

	//Techies' Barrel
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel"		"工程师的炸药桶"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_Description"		"伤害: <font color='#FBAF40'>500</font>/575/650/725/800\n爆炸半径: <font color='#FBAF40'>300</font>\n每级增加: 75\n满级奖励: 给帕吉自爆的能力。\n\n放置一个地雷，当有人靠近时会爆炸。 靠近爆炸中心的人会受到更多的伤害。 伤害会每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_Lore"		"来自工程师的科技，这些炸药桶使帕吉放置地雷。 当它被扔向敌人时，会成为危险的手雷。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_2"		"工程师的炸药桶"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_2_Description"		"伤害: 500/<font color='#FBAF40'>575</font>/650/725/800\n爆炸半径: <font color='#FBAF40'>300</font>\n每级增加: 75\n满级奖励: 给帕吉自爆的能力。\n\n放置一个地雷，当有人靠近时会爆炸。 靠近爆炸中心的人会受到更多的伤害。 伤害会每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_2_Lore"		"来自工程师的科技，这些炸药桶使帕吉放置地雷。 当它被扔向敌人时，会成为危险的手雷。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_3"		"工程师的炸药桶"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_3_Description"		"伤害: 500/575/<font color='#FBAF40'>650</font>/725/800\n爆炸半径: <font color='#FBAF40'>300</font>\n每级增加: 75\n满级奖励: 给帕吉自爆的能力。\n\n放置一个地雷，当有人靠近时会爆炸。 靠近爆炸中心的人会受到更多的伤害。 伤害会每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_3_Lore"		"来自工程师的科技，这些炸药桶使帕吉放置地雷。 当它被扔向敌人时，会成为危险的手雷。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_4"		"工程师的炸药桶"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_4_Description"		"伤害: 500/575/650/<font color='#FBAF40'>725</font>/800\n爆炸半径: <font color='#FBAF40'>300</font>\n每级增加: 75\n满级奖励: 给帕吉自爆的能力。\n\n放置一个地雷，当有人靠近时会爆炸。 靠近爆炸中心的人会受到更多的伤害。 伤害会每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_4_Lore"		"来自工程师的科技，这些炸药桶使帕吉放置地雷。 当它被扔向敌人时，会成为危险的手雷。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_5"		"工程师的炸药桶"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_5_Description"		"伤害: 500/575/650/725/<font color='#FBAF40'>800</font>\n爆炸半径: <font color='#FBAF40'>300</font>\n每级增加: 75\n满级奖励: <font color='#FBAF40'>给帕吉自爆的能力。</font>\n\n放置一个地雷，当有人靠近时会爆炸。 靠近爆炸中心的人会受到更多的伤害。 伤害会每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_techies_explosive_barrel_5_Lore"		"来自工程师的科技，这些炸药桶使帕吉放置地雷。 当它被扔向敌人时，会成为危险的手雷。"

	//Lycan Paws
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw"		"狼人之爪"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_Description"		"移速加成: <font color='#FBAF40'>75</font>/100/125/150/175\n每级增加: 25\n满级加成: 12%% 移速加成和 27%% 攻速加成。\n\n增加帕吉的移动速度，并且每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_Lore"		"狼人的灵魂附在这具爪子上，使帕吉的移速得到了加成。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_2"		"狼人之爪"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_2_Description"		"移速加成: 75/<font color='#FBAF40'>100</font>/125/150/175\n每级增加: 25\n满级加成: 12%% 移速加成和 27%% 攻速加成。\n\n增加帕吉的移动速度，并且每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_2_Lore"		"狼人的灵魂附在这具爪子上，使帕吉的移速得到了加成。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_3"		"狼人之爪"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_3_Description"		"移速加成: 75/100/<font color='#FBAF40'>125</font>/150/175\n每级增加: 25\n满级加成: 12%% 移速加成和 27%% 攻速加成。\n\n增加帕吉的移动速度，并且每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_3_Lore"		"狼人的灵魂附在这具爪子上，使帕吉的移速得到了加成。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_4"		"狼人之爪"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_4_Description"		"移速加成: 75/100/125/<font color='#FBAF40'>150</font>/175\n每级增加: 25\n满级加成: 12%% 移速加成和 27%% 攻速加成。\n\n增加帕吉的移动速度，并且每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_4_Lore"		"狼人的灵魂附在这具爪子上，使帕吉的移速得到了加成。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_5"		"狼人之爪"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_5_Description"		"移速加成: 75/100/125/150/<font color='#FBAF40'>175</font>\n每级增加: 25\n满级加成: <font color='#FBAF40'>12%% 移速加成和 27%% 攻速加成。</font>\n\n增加帕吉的移动速度，并且每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_lycan_paw_5_Lore"		"狼人的灵魂附在这具爪子上，使帕吉的移速得到了加成。"
	
	//Naix Jaws
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw"		"噬魂鬼下颚"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_Description" "吸血加成: <font color='#FBAF40'>20%%</font>/25%%/30%%/35%%/40%%\n每级加成: 5%%\n满级奖励: 帕吉的普通攻击造成 15%% 的生命偷取。\n\n使肉钩造成的攻击能够恢复你的生命值，恢复的百分比每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_Lore"		"噬魂鬼的渴望使帕吉的肉钩能够偷取生命。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_2"		"噬魂鬼下颚"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_2_Description" "吸血加成: 20%%/<font color='#FBAF40'>25%%</font>/30%%/35%%/40%%\n每级加成: 5%%\n满级奖励: 帕吉的普通攻击造成 15%% 的生命偷取。\n\n使肉钩造成的攻击能够恢复你的生命值，恢复的百分比每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_2_Lore"		"噬魂鬼的渴望使帕吉的肉钩能够偷取生命。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_3"		"噬魂鬼下颚"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_3_Description" "吸血加成: 20%%/25%%/<font color='#FBAF40'>30%%</font>/35%%/40%%\n每级加成: 5%%\n满级奖励: 帕吉的普通攻击造成 15%% 的生命偷取。\n\n使肉钩造成的攻击能够恢复你的生命值，恢复的百分比每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_3_Lore"		"噬魂鬼的渴望使帕吉的肉钩能够偷取生命。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_4"		"噬魂鬼下颚"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_4_Description" "吸血加成: 20%%/25%%/30%%/<font color='#FBAF40'>35%%</font>/40%%\n每级加成: 5%%\n满级奖励: 帕吉的普通攻击造成 15%% 的生命偷取。\n\n使肉钩造成的攻击能够恢复你的生命值，恢复的百分比每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_4_Lore"		"噬魂鬼的渴望使帕吉的肉钩能够偷取生命。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_5"		"噬魂鬼下颚"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_5_Description" "吸血加成: 20%%/25%%/30%%/35%%/<font color='#FBAF40'>40%%</font>\n每级加成: 5%%\n满级奖励: <font color='#FBAF40'>帕吉的普通攻击造成 15%% 的生命偷取。</font>\n\n使肉钩造成的攻击能够恢复你的生命值，恢复的百分比每级增加。"
	"DOTA_TOOLTIP_ABILITY_item_naix_jaw_5_Lore"		"噬魂鬼的渴望使帕吉的肉钩能够偷取生命。"	

	"DOTA_TOOLTIP_NAIX_JAW_LIFESTEAL"		"噬魂鬼下颚吸血效果"
	"DOTA_TOOLTIP_NAIX_JAW_LIFESTEAL_Description"		"每次攻击可以造成伤害15%%的回复。"

	//Grappling hook
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook" "格斗之勾"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_Description" "冷却时间:  <font color='#FBAF40'>10</font>/9/8/7/6\n每级减少: 1\n满级奖励: 给予帕吉闪烁技能。\n\n发射一个可以钩中灯杆的钩子，如果钩中将带着帕吉飞向灯杆，每级减少冷却时间。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_Lore" "这个钩子拥有的神奇力量，允许帕吉通过任何地形。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_2" "格斗之勾"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_2_Description" "冷却时间:  10/<font color='#FBAF40'>9</font>/8/7/6\n每级减少: 1\n满级奖励: 给予帕吉闪烁技能。\n\n发射一个可以钩中灯杆的钩子，如果钩中将带着帕吉飞向灯杆，每级减少冷却时间。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_2_Lore" "这个钩子拥有的神奇力量，允许帕吉通过任何地形。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_3" "格斗之勾"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_3_Description" "冷却时间:  10/9/<font color='#FBAF40'>8</font>/7/6\n每级减少: 1\n满级奖励: 给予帕吉闪烁技能。\n\n发射一个可以钩中灯杆的钩子，如果钩中将带着帕吉飞向灯杆，每级减少冷却时间。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_3_Lore" "这个钩子拥有的神奇力量，允许帕吉通过任何地形。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_4" "格斗之勾"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_4_Description" "冷却时间:  10/9/8/<font color='#FBAF40'>7</font>/6\n每级减少: 1\n满级奖励: 给予帕吉闪烁技能。\n\n发射一个可以钩中灯杆的钩子，如果钩中将带着帕吉飞向灯杆，每级减少冷却时间。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_4_Lore" "这个钩子拥有的神奇力量，允许帕吉通过任何地形。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_5" "格斗之勾"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_5_Description" "冷却时间:  10/9/8/7/<font color='#FBAF40'>6</font>\n每级减少: 1\n满级奖励: <font color='#FBAF40'>给予帕吉闪烁技能。</font>\n\n发射一个可以钩中灯杆的钩子，如果钩中将带着帕吉飞向灯杆，每级减少冷却时间。"
	"DOTA_TOOLTIP_ABILITY_item_grappling_hook_5_Lore" "这个钩子拥有的神奇力量，允许帕吉通过任何地形。"

	//Tinys Arm
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm" "小小的手臂"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_Description" "投掷距离:  <font color='#FBAF40'>1000</font>/1500/2000/2500/3000\n冷却时间:  <font color='#FBAF40'>10</font>/9/8/7/6\n每级增加距离: 500\n冷却时间每级减少: 1\n满级奖励: 击晕目标2秒并造成200伤害。\n\n允许帕吉将身边的物体扔到目标地点，距离和冷却时间随着等级而改变。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_Lore" "如何获得这拥有巨力的手臂还是不要问了，但显尔易见的是，其依旧保持了强大的力量。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_2" "小小的手臂"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_2_Description" "投掷距离:  1000/<font color='#FBAF40'>1500</font>/2000/2500/3000\n冷却时间:  10/<font color='#FBAF40'>9</font>/8/7/6\n每级增加距离: 500\n冷却时间每级减少: 1\n满级奖励: 击晕目标2秒并造成200伤害。\n\n允许帕吉将身边的物体扔到目标地点，距离和冷却时间随着等级而改变。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_2_Lore" "如何获得这拥有巨力的手臂还是不要问了，但显尔易见的是，其依旧保持了强大的力量。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_3" "小小的手臂"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_3_Description" "投掷距离:  1000/1500/<font color='#FBAF40'>2000</font>/2500/3000\n冷却时间:  10/9/<font color='#FBAF40'>8</font>/7/6\n每级增加距离: 500\n冷却时间每级减少: 1\n满级奖励: 击晕目标2秒并造成200伤害。\n\n允许帕吉将身边的物体扔到目标地点，距离和冷却时间随着等级而改变。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_3_Lore" "如何获得这拥有巨力的手臂还是不要问了，但显尔易见的是，其依旧保持了强大的力量。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_4" "小小的手臂"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_4_Description" "投掷距离:  1000/1500/2000/<font color='#FBAF40'>2500</font>/3000\n冷却时间:  10/9/8/<font color='#FBAF40'>7</font>/6\n每级增加距离: 500\n冷却时间每级减少: 1\n满级奖励: 击晕目标2秒并造成200伤害。\n\n允许帕吉将身边的物体扔到目标地点，距离和冷却时间随着等级而改变。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_4_Lore" "如何获得这拥有巨力的手臂还是不要问了，但显尔易见的是，其依旧保持了强大的力量。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_5" "小小的手臂"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_5_Description" "投掷距离:  1000/1500/2000/2500/<font color='#FBAF40'>3000</font>\n冷却时间:  10/9/8/7/<font color='#FBAF40'>6</font>\n每级增加距离: 500\n冷却时间每级减少: 1\n满级奖励: <font color='#FBAF40'>击晕目标2秒并造成200伤害。</font>\n\n允许帕吉将身边的物体扔到目标地点，距离和冷却时间随着等级而改变。"
	"DOTA_TOOLTIP_ABILITY_item_tiny_arm_5_Lore" "如何获得这拥有巨力的手臂还是不要问了，但显尔易见的是，其依旧保持了强大的力量。"

	//Barathrums Lantern
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern" "裂魂人的灯笼"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_Description" "伤害增加:  <font color='#FBAF40'>25%%</font>/30%%/35%%/40%%/45%%\n满级奖励: 17%%机率造成+300点伤害的重击。\n\n基于肉钩的速度增加肉钩的伤害，每级造成的百分比不同。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_Lore" "这充满力量的灯笼使钩子增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_2" "裂魂人的灯笼"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_2_Description" "伤害增加:  25%%/<font color='#FBAF40'>30%%</font>/35%%/40%%/45%%\n满级奖励: 17%%机率造成+300点伤害的重击。\n\n基于肉钩的速度增加肉钩的伤害，每级造成的百分比不同。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_2_Lore" "这充满力量的灯笼使钩子增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_3" "裂魂人的灯笼"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_3_Description" "伤害增加:  25%%/30%%/<font color='#FBAF40'>35%%</font>/40%%/45%%\n满级奖励: 17%%机率造成+300点伤害的重击。\n\n基于肉钩的速度增加肉钩的伤害，每级造成的百分比不同。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_3_Lore" "这充满力量的灯笼使钩子增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_4" "裂魂人的灯笼"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_4_Description" "伤害增加:  25%%/30%%/35%%/<font color='#FBAF40'>40%%</font>/45%%\n满级奖励: 17%%机率造成+300点伤害的重击。\n\n基于肉钩的速度增加肉钩的伤害，每级造成的百分比不同。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_4_Lore" "这充满力量的灯笼使钩子增加伤害。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_5" "裂魂人的灯笼"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_5_Description" "伤害增加:  25%%/30%%/35%%/40%%/<font color='#FBAF40'>45%%</font>\n满级奖励: <font color='#FBAF40'>17%%机率造成+300点伤害的重击。</font>\n\n基于肉钩的速度增加肉钩的伤害，每级造成的百分比不同。"
	"DOTA_TOOLTIP_ABILITY_item_barathrum_lantern_5_Lore" "这充满力量的灯笼使钩子增加伤害。"

	"DOTA_TOOLTIP_ABILITY_item_greater_salve" "治疗药膏"
